"year","round","electiondate","electiontype"
1998,1,"1998-10-04","geral"
1998,2,"1998-10-25","geral"
2000,1,"2000-10-01","municipal"
2000,2,"2000-10-29","municipal"
2002,1,"2002-10-06","geral"
2002,2,"2002-10-27","geral"
2004,1,"2004-10-03","municipal"
2004,2,"2004-10-31","municipal"
2006,1,"2006-10-01","geral"
2006,2,"2006-10-29","geral"
2008,1,"2008-10-05","municipal"
2008,2,"2008-10-26","municipal"
2010,1,"2010-10-03","geral"
2010,2,"2010-10-31","geral"
2012,1,"2012-10-07","municipal"
2012,2,"2012-10-30","municipal"
2014,1,"2014-10-05","geral"
2014,2,"2014-10-26","geral"
2016,1,"2016-10-02","municipal"
2016,2,"2016-10-30","municipal"
2018,1,"2018-10-07","geral"
2018,2,"2018-10-28","geral"
